scheduleid,routeid,scheduleday,scheduletime,
840,18,0,435,
841,18,0,450,
842,18,0,465,
843,18,0,480,
844,18,0,495,
845,18,0,510,
846,18,0,525,
847,18,0,540,
848,18,0,555,
849,18,0,579,
850,18,0,609,
851,18,0,639,
852,18,0,669,
853,18,0,699,
854,18,0,729,
855,18,0,759,
856,18,0,789,
857,18,0,819,
858,18,0,849,
859,18,0,871,
860,18,0,886,
861,18,0,901,
862,18,0,916,
863,18,0,929,
864,18,0,944,
865,18,0,959,
866,18,0,974,
867,18,0,989,
868,18,0,1004,
869,18,0,1019,
870,18,0,1034,
871,18,0,1063,
872,18,0,1093,
873,18,0,1123,
874,18,0,1153,
875,18,0,1188,
876,18,0,1218,
877,18,0,1248,
878,18,0,1278,
879,18,0,1308,
880,18,0,1338,
881,18,0,1371,
882,18,0,1401,
883,19,0,324,
884,19,0,347,
885,19,0,377,
886,19,0,394,
887,19,0,409,
888,19,0,424,
889,19,0,439,
890,19,0,454,
891,19,0,469,
892,19,0,484,
893,19,0,499,
894,19,0,514,
895,19,0,529,
896,19,0,544,
897,19,0,559,
898,19,0,583,
899,19,0,613,
900,19,0,643,
901,19,0,673,
902,19,0,703,
903,19,0,733,
904,19,0,763,
905,19,0,793,
906,19,0,823,
907,19,0,853,
908,19,0,875,
909,19,0,890,
910,19,0,905,
911,19,0,920,
912,19,0,933,
913,19,0,948,
914,19,0,963,
915,19,0,978,
916,19,0,993,
917,19,0,1008,
918,19,0,1023,
919,19,0,1038,
920,19,0,1066,
921,19,0,1096,
922,19,0,1126,
923,19,0,1156,
924,19,0,1191,
925,19,0,1221,
926,19,0,1251,
927,19,0,1281,
928,19,0,1311,
929,19,0,1341,
930,19,0,1374,
931,19,0,1404,
932,20,0,325,
933,20,0,349,
934,20,0,379,
935,20,0,396,
936,20,0,411,
937,20,0,426,
938,20,0,441,
939,20,0,456,
940,20,0,471,
941,20,0,486,
942,20,0,501,
943,20,0,516,
944,20,0,531,
945,20,0,546,
946,20,0,561,
947,20,0,585,
948,20,0,615,
949,20,0,645,
950,20,0,675,
951,20,0,705,
952,20,0,735,
953,20,0,765,
954,20,0,795,
955,20,0,825,
956,20,0,855,
957,20,0,877,
958,20,0,892,
959,20,0,907,
960,20,0,922,
961,20,0,935,
962,20,0,950,
963,20,0,965,
964,20,0,980,
965,20,0,995,
966,20,0,1010,
967,20,0,1025,
968,20,0,1040,
969,20,0,1068,
970,20,0,1098,
971,20,0,1128,
972,20,0,1158,
973,20,0,1192,
974,20,0,1222,
975,20,0,1252,
976,20,0,1282,
977,20,0,1312,
978,20,0,1342,
979,20,0,1375,
980,20,0,1405,
981,21,0,329,
982,21,0,355,
983,21,0,385,
984,21,0,404,
985,21,0,419,
986,21,0,434,
987,21,0,449,
988,21,0,464,
989,21,0,479,
990,21,0,494,
991,21,0,509,
992,21,0,524,
993,21,0,539,
994,21,0,554,
995,21,0,569,
996,21,0,592,
997,21,0,622,
998,21,0,652,
999,21,0,682,
1000,21,0,712,
1001,21,0,742,
1002,21,0,772,
1003,21,0,802,
1004,21,0,832,
1005,21,0,862,
1006,21,0,884,
1007,21,0,899,
1008,21,0,914,
1009,21,0,929,
1010,21,0,942,
1011,21,0,957,
1012,21,0,972,
1013,21,0,987,
1014,21,0,1002,
1015,21,0,1017,
1016,21,0,1032,
1017,21,0,1047,
1018,21,0,1075,
1019,21,0,1105,
1020,21,0,1135,
1021,21,0,1165,
1022,21,0,1198,
1023,21,0,1228,
1024,21,0,1258,
1025,21,0,1288,
1026,21,0,1318,
1027,21,0,1348,
1028,21,0,1380,
1029,21,0,1410,
1030,22,0,332,
1031,22,0,360,
1032,22,0,390,
1033,22,0,410,
1034,22,0,425,
1035,22,0,440,
1036,22,0,455,
1037,22,0,470,
1038,22,0,485,
1039,22,0,500,
1040,22,0,515,
1041,22,0,530,
1042,22,0,545,
1043,22,0,560,
1044,22,0,575,
1045,22,0,598,
1046,22,0,628,
1047,22,0,658,
1048,22,0,688,
1049,22,0,718,
1050,22,0,748,
1051,22,0,778,
1052,22,0,808,
1053,22,0,838,
1054,22,0,868,
1055,22,0,890,
1056,22,0,905,
1057,22,0,920,
1058,22,0,935,
1059,22,0,947,
1060,22,0,962,
1061,22,0,977,
1062,22,0,992,
1063,22,0,1007,
1064,22,0,1022,
1065,22,0,1037,
1066,22,0,1052,
1067,22,0,1080,
1068,22,0,1110,
1069,22,0,1140,
1070,22,0,1170,
1071,22,0,1202,
1072,22,0,1232,
1073,22,0,1262,
1074,22,0,1292,
1075,22,0,1322,
1076,22,0,1352,
1077,22,0,1383,
1078,22,0,1413,
1079,23,0,340,
1080,23,0,369,
1081,23,0,399,
1082,23,0,420,
1083,23,0,435,
1084,23,0,450,
1085,23,0,465,
1086,23,0,480,
1087,23,0,495,
1088,23,0,510,
1089,23,0,525,
1090,23,0,540,
1091,23,0,555,
1092,23,0,570,
1093,23,0,585,
1094,23,0,608,
1095,23,0,638,
1096,23,0,668,
1097,23,0,698,
1098,23,0,728,
1099,23,0,758,
1100,23,0,788,
1101,23,0,818,
1102,23,0,848,
1103,23,0,878,
1104,23,0,900,
1105,23,0,915,
1106,23,0,930,
1107,23,0,945,
1108,23,0,959,
1109,23,0,974,
1110,23,0,989,
1111,23,0,1004,
1112,23,0,1019,
1113,23,0,1034,
1114,23,0,1049,
1115,23,0,1064,
1116,23,0,1089,
1117,23,0,1119,
1118,23,0,1149,
1119,23,0,1179,
1120,23,0,1210,
1121,23,0,1240,
1122,23,0,1270,
1123,23,0,1300,
1124,23,0,1330,
1125,23,0,1360,
1126,23,0,1390,
1127,23,0,1420,
1128,24,0,345,
1129,24,0,375,
1130,24,0,405,
1131,24,0,427,
1132,24,0,442,
1133,24,0,457,
1134,24,0,472,
1135,24,0,487,
1136,24,0,502,
1137,24,0,517,
1138,24,0,532,
1139,24,0,547,
1140,24,0,562,
1141,24,0,577,
1142,24,0,592,
1143,24,0,615,
1144,24,0,645,
1145,24,0,675,
1146,24,0,705,
1147,24,0,735,
1148,24,0,765,
1149,24,0,795,
1150,24,0,825,
1151,24,0,855,
1152,24,0,885,
1153,24,0,907,
1154,24,0,922,
1155,24,0,937,
1156,24,0,952,
1157,24,0,967,
1158,24,0,982,
1159,24,0,997,
1160,24,0,1012,
1161,24,0,1027,
1162,24,0,1042,
1163,24,0,1057,
1164,24,0,1072,
1165,24,0,1095,
1166,24,0,1125,
1167,24,0,1155,
1168,24,0,1185,
1169,24,0,1215,
1170,24,0,1245,
1171,24,0,1275,
1172,24,0,1305,
1173,24,0,1335,
1174,24,0,1365,
1175,24,0,1395,
1176,24,0,1425,
1177,25,0,435,
1178,25,0,465,
1179,25,0,495,
1180,25,0,525,
1181,25,0,555,
1182,25,0,585,
1183,25,0,615,
1184,25,0,645,
1185,25,0,990,
1186,25,0,1020,
1187,25,0,1050,
1188,25,0,1080,
1189,26,0,436,
1190,26,0,466,
1191,26,0,496,
1192,26,0,526,
1193,26,0,556,
1194,26,0,586,
1195,26,0,616,
1196,26,0,646,
1197,26,0,991,
1198,26,0,1021,
1199,26,0,1051,
1200,26,0,1081,
1201,27,0,437,
1202,27,0,467,
1203,27,0,497,
1204,27,0,527,
1205,27,0,557,
1206,27,0,587,
1207,27,0,617,
1208,27,0,647,
1209,27,0,992,
1210,27,0,1022,
1211,27,0,1052,
1212,27,0,1082,
1213,28,0,438,
1214,28,0,468,
1215,28,0,498,
1216,28,0,528,
1217,28,0,558,
1218,28,0,588,
1219,28,0,618,
1220,28,0,648,
1221,28,0,993,
1222,28,0,1023,
1223,28,0,1053,
1224,28,0,1083,
1225,29,0,447,
1226,29,0,477,
1227,29,0,507,
1228,29,0,537,
1229,29,0,567,
1230,29,0,597,
1231,29,0,627,
1232,29,0,657,
1233,29,0,1002,
1234,29,0,1032,
1235,29,0,1062,
1236,29,0,1092,
1237,30,0,435,
1238,30,0,465,
1239,30,0,495,
1240,30,0,525,
1241,30,0,555,
1242,30,0,585,
1243,30,0,615,
1244,30,0,645,
1245,30,0,990,
1246,30,0,1020,
1247,30,0,1050,
1248,30,0,1080,
1249,31,0,436,
1250,31,0,466,
1251,31,0,496,
1252,31,0,526,
1253,31,0,556,
1254,31,0,586,
1255,31,0,616,
1256,31,0,646,
1257,31,0,991,
1258,31,0,1021,
1259,31,0,1051,
1260,31,0,1081,
1261,32,0,436,
1262,32,0,466,
1263,32,0,496,
1264,32,0,526,
1265,32,0,556,
1266,32,0,586,
1267,32,0,616,
1268,32,0,646,
1269,32,0,991,
1270,32,0,1021,
1271,32,0,1051,
1272,32,0,1081,
1273,33,0,436,
1274,33,0,466,
1275,33,0,496,
1276,33,0,526,
1277,33,0,556,
1278,33,0,586,
1279,33,0,616,
1280,33,0,646,
1281,33,0,991,
1282,33,0,1021,
1283,33,0,1051,
1284,33,0,1081,
1285,34,0,675,
1286,34,0,720,
1287,34,0,765,
1288,34,0,810,
1289,34,0,855,
1290,34,0,900,
1291,34,0,945,
1292,34,0,1110,
1293,34,0,1155,
1294,34,0,1200,
1295,34,0,1245,
1296,34,0,1290,
1297,34,0,1335,
1298,34,0,1380,
1299,34,1,435,
1300,34,1,480,
1301,34,1,525,
1302,34,1,570,
1303,34,1,615,
1304,34,1,660,
1305,34,1,705,
1306,34,1,810,
1307,34,1,855,
1308,34,1,900,
1309,34,1,945,
1310,34,1,990,
1311,34,1,1035,
